term,definition
A (credit rating),"A solid credit rating given to a prospective borrower. Sometimes known as an A2 rating, an A score suggests a company or government has decent cash reserves and stable finances. It shows they're unlikely to default on debt repayments, although they may be slightly vulnerable to changes in economic conditions."
AA (credit rating),One of the higher credit ratings a prospective borrower can be given by ratings agencies S&P or Fitch. Moody's refer to it as an Aa2 rating. It suggests a company or government is unlikely to default on its debt repayments. It's applied to the bonds issued by a company or government.
AAA (credit rating),The highest possible credit rating a prospective borrower can have. An AAA score is awarded by a credit ratings agency and suggests a company or government is highly unlikely to default on its debt repayments.
Abnormal return,"It’s a term used to describe how the actual returns on particular financial securities differ from their predicted return. The results can be perceived either positively or negatively, depending on the portfolio and the state of the securities."
Absolute return funds,"An absolute return fund, also known as a target return fund, is a fund that aims to turn a profit for its investors, regardless of the direction of the market. These differ from a relative return fund, which aims to outperform the market, even if that means making less of a loss than the average."
Accelerated monitoring fees,"A portfolio company will often have to pay monitoring fees to their private equity advisers at set intervals (usually annually) over a set period of time (for example, 10 years), to cover the cost of their services."
Accelerated Return Note,"A return is the loss or gain of a security over a particular time span. An accelerated return is a short to medium span debt device. The notes offer a capped leverage return, but on average do not offer any drawback protection, which marginalises its appeal among investors."
Accelerated share repurchase,"Also known as accelerated buy back (ABB), it is a method where corporations buy back outstanding shares of their stock. This method is occasionally chosen by trading firms as a way to reduce the number of outstanding shares for a fixed cost."
Acceptance set,An acceptance set is usually associated with risk measures in the world of financial mathematics. The term describes the proposal of a future net worth of a company or a security that is deemed as acceptable by the organisation or body that is regulating said company or market.
Acceptance Testing,"Tagged as the last phase of software testing, acceptance testing helps evaluate the compliance of the system following the business/project requirements and assess whether it is acceptable for delivery and production. Let’s dive into the acceptance testing meaning, uses and types to know more."
Accounting Currency,"Accounting currency is important for a company’s official bookkeeping and may differ from the transactional currency used. Companies that have operations in multiple countries or subsidiaries operating in different geographic locations, use different currencies in their day-to-day operations, however, they need to convert their financial statements into the accounting currency in order to consolidate the financial statements."
Accounting Insolvency,"Accounting insolvency is an event where the value of a company’s liabilities exceeds the value of its assets. Liabilities of a company can include short-term and long-term debts, accounts payable, accrued expenses and bonds. Assets of a company can include cash, debt securities, accounts receivables, inventories, properties, goodwill and deferred income."
Accounting liquidity,"Accounting liquidity is the measure of a debtor’s ability to pay their debts as and when they are needed, using the assets that are available to them. These assets will need to be liquid assets."
Accounting Rate of Return,The accounting rate of return (ARR) is the return an individual can expect to receive based on an investment made. ARR is also known as the simple rate of return and is useful for the speedy calculation of a company’s financial success or failures.
Accounting Ratio,Accounting ratios are a key subset of financial ratios that help express the relationship between accounting data points. They are considered the basis of ratio analysis used to measure the efficiency and profitability of a business.
Accretive,"In finance, as in the wider world, accretive is the adjective of accretion and refers to gradual increase or growth."
Accretive acquisition,"When a company acquires (or 'buys') another company, the deal will, more often than not, impact the acquiring company's market price."
Accrual accounting,"Accrual accounting is a method of accounting whereby a company’s position and performance is measured by recording all cash transactions that occur, rather than simply recognising payment transactions. The latter method is known as cash accounting."
Accrue,"In general terms to accrue is to accumulate and receive something in regular and sometimes increasing instalments over time. It is most often used in reference to the income, expense or interest accumulated by an individual or business."
Accrued Income,Accrued income is the money earned by a company by selling products or services for which payment has not yet been received.
Acid-test ratio,"The acid-test ratio, also known as the quick ratio, is an indicator of a company’s short-term liquidity that measures whether it has enough short-term assets to cover its short-term liabilities."
Acquire,"A business acquires another by buying a majority stake in that company. By acquiring more than 50% ownership, the acquiring company effectively takes control of the target company and does not need to have other stakeholders' consent in order to make decisions about the company's future or direction."
Acquiree,"In a business acquisition the acquiree is the company that is being bought. It's also called the target company. For the acquiree, an acquisition by a larger company could offer a higher return for its shareholders or it could provide extra capital to cover liabilities or fund expansion."
Acquisition structure,"In a friendly takeover, an acquisition structure sets out the framework, and the terms and conditions for the purchase or sale of a company. It considers the company's value and structure and lays out the specifics of the deal for example, which assets will be included in the sale."
Active Investing,Active investing is an investment strategy that involves active buying and selling financial securities with the aim to generate higher than benchmark profits.
Active Order,"During a day of trading a broker  will buy and sell. What they buy and sell, and how much they do it for, comes down to specific orders given to them by investors."
Active trading,"The active trading definition refers to the act of buying and selling financial assets to generate quick profits from price movements by speculating on a short-term trend. It is typically done in highly liquid markets. Therefore, active traders commonly prefer to work with volatile stocks, forex and derivatives. They are continuously analysing the given markets, studying the trends and searching for patterns. Traders, who actively participate in the market, utilise a plethora of methods and strategies to achieve their trading goals. The active trading meaning implies that traders should always be ready to make a trade. For that reason, active trading requires the availability of myriad sources of information to maximise potential opportunities."
Activist shareholder,"Activist shareholders use their position as a shareholder of a company to bring about change. Often activists will be campaigning around issues such as the environment, workers’ rights and political ethics. The term can also refer to investors who attempt to gain control of a company and replace management."
Adams Express Company,"Now known as Adams Diversified Equity Fund, it is – as the name suggests – a publicly traded diversified equity fund. Since 1929 it has been one of just five companies that continues to operate as a closed-end fund."
Adjusted Present Value (APV),"Adjusted Present Value is a valuation method used to calculate the value of a project or company if financed solely by equity and debt. APV takes into consideration the financial benefits of debts, such as interest tax shields, which are deductible interest."
Advanced Computerized Execution System,"The Advanced Computerized Execution System (ACES) is a service offered by Nasdaq, the US stock exchange which is best-known as the home of fast-growing tech companies. The system links broker/dealers automatically with market-makers with which they have an established relationship."
AdvisorShares,AdvisorShares is a Maryland based investment management company that offers strongly managed exchange traded funds (ETF) through the AdvisorShares Trust. The company began its first active ETF fund in 2009 after Fund.com showed interest in the company the previous year.
AEX index,"The Amsterdam Exchange index, or AEX for short, is an index of stocks that are traded on the Euronext Amsterdam. Established in 1983, the index is made up of the 25 most actively traded stocks on the exchange."
