term,definition,url
0x Protocol,"Amilcar has 10 years of FinTech, blockchain, and crypto startup experience and advises financial institutions, governments, regulators, and startups.",https://www.investopedia.com/terms/1/0x-protocol.asp
1%/10 Net 30,Paige McLaughlin / Investopedia,https://www.investopedia.com/terms/1/1-10net30.asp
10-K,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/10-k.asp
"10-K Wrap: What It Is, How It Works, Elements","A 10-K wrap is a summary report of a company's annual performance that bundles the10-Kreport required by theSecurities and Exchange Commission(SEC) with additional commentary from the company, covering such things as the corporate vision, letter to shareholders, and business overview, among other topics.",https://www.investopedia.com/terms/1/10k-wrap.asp
10-Q SEC Form,Investopedia / Michela Buttignol,https://www.investopedia.com/terms/1/10q.asp
10-Year Treasury Note,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/10-yeartreasury.asp
100% Equities Strategy,"Adam Hayes, Ph.D., CFA, is a financial writer with 15+ years Wall Street experience as a derivatives trader. Besides his extensive derivative trading expertise, Adam is an expert in economics and behavioral finance. Adam received his master's in economics from The New School for Social Research and his Ph.D. from the University of Wisconsin-Madison in sociology. He is a CFA charterholder as well as holding FINRA Series 7, 55 & 63 licenses. He currently researches and teaches economic sociology and the social studies of finance at the Hebrew University in Jerusalem.",https://www.investopedia.com/terms/1/100-equities-strategy.asp
1040 U.S. Individual Tax Return Form,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/1040.asp
1040A Form,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/1040a.asp
1040EZ Form,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/1040ez.asp
SEC Release IA-1092,"Katrina Ávila Munichiello is an experienced editor, writer, fact-checker, and proofreader with more than fourteen years of experience working with print and online publications.",https://www.investopedia.com/terms/1/1092.asp
11th District Cost of Funds Index (COFI),"The 11th District Cost of Funds Index (COFI) was a monthly index that reflected the average interest rate paid by savings institutions in Arizona, California, and Nevada on checking and savings accounts. It was one of many indices used by mortgage lenders to adjust the interest rate onadjustable rate mortgages(ARM) and was launched in 1981. With an ARM mortgage, the interest rate on a mortgage moves up and down along with some standard interest rate chosen by the lender, and COFI was one of the most popular indices in the western states.",https://www.investopedia.com/terms/1/cofi.asp
125% Loan,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/125_loan.asp
