term,definition,url
Absolute Advantage,"Absolute advantage is the ability of an individual, company, region, or country to produce a greater quantity of a good or service with the same quantity of inputs per unit of time, or to produce the same quantity of a good or service per unit of time using a lesser quantity of inputs, than its competitors.",https://www.investopedia.com/terms/a/absoluteadvantage.asp
Absorption Rate,The absorption rate is used in thereal estatemarket to evaluate the rate at which available homes are sold in a specificmarketduring a given period. It is calculated by dividing the number of homes sold in the allotted period by the total number of available homes.This equation can also be reversed to identify the time it would take for the supply to be sold.,https://www.investopedia.com/terms/a/absorption-rate.asp
Accepting Risk,"Accepting risk, or risk acceptance, occurs when a business or individual acknowledges that the potential loss from a risk is not great enough to warrant spending money to avoid it. Also known as ""risk retention,"" it is an aspect ofrisk managementcommonly found in the business or investment fields.",https://www.investopedia.com/terms/a/accepting-risk.asp
Account Balance,"An account balance is the amount of money in a financial repository, such as a savings or checking account, at a specific time. It factors in all debits and credits. Account balances are also shown on billing statements for credit cards, utilities, and loans.",https://www.investopedia.com/terms/a/accountbalance.asp
Accounting Conservatism,Accounting conservatism is a set of bookkeeping guidelines that call for a high degree of verification before a company can make a legal claim to anyprofit.,https://www.investopedia.com/terms/a/accounting-conservatism.asp
Accounting Method,An accounting method refers to the rules that a company follows in reporting revenues and expenses. The two primary methods ofaccountingare accrual accounting (generally used by companies) and cash accounting (generally used by individuals).,https://www.investopedia.com/terms/a/accountingmethod.asp
Accounting Principles,"Accounting principles are guidelines companies must follow when recording and reporting accounting transactions. They bring uniformity tofinancial statements, making it harder for firms to hide information and inflate their numbers. These principles also make it easier to understand a business’s health and compare one or several companies' financials over different periods.",https://www.investopedia.com/terms/a/accounting-principles.asp
Accounting Profit,"Accounting profit is a company's totalearnings, calculated according togenerally accepted accounting principles(GAAP). It includes theexplicit costsof doing business, such as operating expenses, depreciation, interest,and taxes.",https://www.investopedia.com/terms/a/accountingprofit.asp
Accounts Receivable Aging,Accounts receivable aging is a periodic report that categorizes a company'saccounts receivableaccording to the length of time an invoice has been outstanding. It is used as a gauge to determine the financial health and reliability of a company's customers.,https://www.investopedia.com/terms/a/accounts-receivable-aging.asp
Accrued Interest,"In accounting, accrued interest refers to the amount ofinterestthat has been incurred, as of a specific date, on a loan or other financial obligation but has not yet been paid out. Accrued interest can either be in the form of accrued interest revenue, for the lender, or accrued interest expense, for the borrower.",https://www.investopedia.com/terms/a/accruedinterest.asp
Accrued Liability,"The term “accrued liability” refers to anexpenseincurred but not yet paid for by a business. These are costs for goods and services already delivered to a company for which it must pay in the future. A company can accrue a liability for any number of obligations, and each is recorded on the company’sbalance sheet. They are normally listed as “current liabilities” and adjusted at the end of an accounting period.",https://www.investopedia.com/terms/a/accrued-liability.asp
Accumulation Phase,"Accumulation phase has two meanings for investors and those saving forretirement. It refers to the period when an individual is working and planning and ultimately building up the value of their investment through savings. The accumulation phase is then followed by the distribution phase, in which retirees begin accessing and using their funds.",https://www.investopedia.com/terms/a/accumulationphase.asp
Acquisition Cost,"An acquisition cost, also referred to as the cost of acquisition, is the total cost that a company recognizes on its books for property or equipment after adjusting for discounts, incentives,closing costsand other necessary expenditures, but beforesales taxes. An acquisition cost may also entail the amount needed to take over another firm or purchase an existing business unit from another company. Additionally, an acquisition cost can describe the costs incurred by a business in relation to the efforts involved in acquiring a new customer.",https://www.investopedia.com/terms/a/acquisition-cost.asp
Activity-Based Costing (ABC),"Activity-based costing (ABC) is a costing method that assignsoverheadand indirect costs to related products and services. Thiscost accounting methodrecognizes the relationship between costs, overhead activities, and manufactured products, assigning indirect costs to products less arbitrarily than traditional costing methods. However, some indirect costs—such as management and office staff salaries—are difficult to assign to a product.",https://www.investopedia.com/terms/a/abc.asp
Activity Ratios,"An activity ratio is a type of financial metric that indicates how efficiently a company is leveraging the assets on its balance sheet, to generate revenues and cash. Commonly referred to asefficiency ratios, activity ratios help analysts gauge how a company handlesinventory management, which is key to its operational fluidity and overall fiscal health.",https://www.investopedia.com/terms/a/activityratio.asp
Additional Child Tax Credit,"The Additional Child Tax Credit (ACTC) is the refundable portion of the Child Tax Credit, but only if you claim it.",https://www.investopedia.com/terms/a/additional-child-tax-credit.asp
Additional Paid-In Capital,Additional paid-in capital (APIC) is an accounting term referring to money an investor pays above and beyond thepar valueprice of a stock.,https://www.investopedia.com/terms/a/additionalpaidincapital.asp
Adjustable Life Insurance,"Adjustable life insurance is a policy that allows you to change features after signing up, including the premium payment and the death benefit. Also known as universal life, adjustable life policies include an interest-bearing savings component, the “cash value” account, which you can tap into while alive.",https://www.investopedia.com/terms/a/adjustable-life-insurance.asp
Adjustable-Rate Mortgage (ARM),"The term adjustable-rate mortgage (ARM) refers to a home loan with avariable interest rate. With an ARM, the initial interest rate is fixed for a period of time. After that, the interest rate applied on the outstanding balance resets periodically, at yearly or even monthly intervals.",https://www.investopedia.com/terms/a/arm.asp
Adjusted Gross Income (AGI),Adjusted gross income (AGI) is the number that the Internal Revenue Service (IRS) uses to determine your income taxes owed for the year. The number is your total taxable income for the year minus certain adjustments that you may qualify for.,https://www.investopedia.com/terms/a/agi.asp
Advertising Budget,"An advertising budget is an estimate of a company's promotional expenditures over a certain time period. More importantly, it is the money a company is willing to set aside to accomplish its marketing objectives.",https://www.investopedia.com/terms/a/advertising-budget.asp
After-Hours Trading,"The term “after-hours trading” refers to trading activity that starts at 4 p.m. U.S. Eastern time (ET) after the major U.S. stock exchanges close. The after-hours trading session can run as late as 8 p.m., thoughvolumetypically thins out much earlier in the session. After-hours trading is conducted throughelectronic communication networks (ECNs).",https://www.investopedia.com/terms/a/afterhourstrading.asp
Agency Costs,"An agency cost is a type of internal company expense, which comes from the actions of an agent acting on behalf of aprincipal. Agency costs typically arise in the wake of core inefficiencies, dissatisfactions, and disruptions, such asconflicts of interestbetween shareholders and management. The payment of the agency cost is to the acting agent.",https://www.investopedia.com/terms/a/agencycosts.asp
Aggregate Supply,"The term aggregate supply refers to the supply of products thatcompaniesproduce and plan to sell at a certain price in a given period. Put simply, it refers to the finished goods that consumers purchase during a specified time. Aggregate supply is represented by the aggregate supply curve. There is typically a positive relationship between aggregate supply and the price level.",https://www.investopedia.com/terms/a/aggregatesupply.asp
Agribusiness,"Agribusiness encompasses the economic sectors for farming and farming-related commerce. It involves all the steps for getting agricultural goods to the market, including production, processing, and distribution. The industry is a traditional part of any economy, especially for countries with arable land and excess agricultural products for export.",https://www.investopedia.com/terms/a/agribusiness.asp
Allowance for Bad Debt,"An allowance for bad debt is a valuation account used to estimate the amount of a firm's receivables that may ultimately be uncollectible. It is also known as anallowance for doubtful accounts. When a borrower defaults on a loan, the allowance forbad debtaccount and the loan receivable balance are both reduced for thebook valueof the loan.",https://www.investopedia.com/terms/a/allowance-for-bad-debt.asp
Allowance for Credit Losses,Allowance for credit losses is an estimate of thedebtthat a company is unlikely to recover. It is taken from the perspective of the selling company that extendscreditto its buyers.,https://www.investopedia.com/terms/a/allowance-for-credit-losses.asp
Allowance for Doubtful Accounts,The allowance for doubtful accounts represents management's estimate of how much of accounts receivable will likely go uncollected.,https://www.investopedia.com/terms/a/allowancefordoubtfulaccounts.asp
Alpha,"Alpha (α) is a term used in investing to describe an investment strategy’s ability to beat the market, or its “edge.” Alpha is thus also often referred to asexcess returnor theabnormal rate of returnin relation to a benchmark, when adjusted for risk.",https://www.investopedia.com/terms/a/alpha.asp
Altcoin,"Altcoins are generally defined as all cryptocurrencies other thanBitcoin(BTC). However, some people consider altcoins to be all cryptocurrencies other than Bitcoin and Ethereum (ETH) because most cryptocurrencies are forked from one of the two. Some altcoins use different consensus mechanisms to validate transactions, open new blocks, or attempt to distinguish themselves from Bitcoin and Ethereum by providing new or additional capabilities or purposes.",https://www.investopedia.com/terms/a/altcoin.asp
Alternative Depreciation System (ADS),"An alternative depreciation system (ADS) is one of the methods the Internal Revenue Service (IRS) requires taxpayers to use to determine the depreciation allowed onbusiness assets. An ADS has a depreciation schedule with a longer recovery period that generally better mirrors the asset's income streams than declining balance depreciation. If the taxpayer elects to use an alternative depreciation system, they must apply it to all property of the same class placed in service during the same year.",https://www.investopedia.com/terms/a/alternative-depreciation-system.asp
Alternative Investment,"An alternative investment is a financial asset that does not fall into one of the conventional investment categories. Conventional categories include stocks, bonds, and cash. Alternative investments can include private equity or venture capital, hedge funds, managed futures, art and antiques, commodities, and derivatives contracts. Real estate is also often classified as an alternative investment.",https://www.investopedia.com/terms/a/alternative_investment.asp
Altman Z-Score,The Altman Z-score is the output of a credit-strength test that gauges a publicly traded manufacturing company's likelihood of bankruptcy.,https://www.investopedia.com/terms/a/altman.asp
Amortizable Bond Premium,"The amortizable bond premium is a tax term that refers to the excess price paid for a bond over and above its face value. Depending on the type of bond, the premium can be tax-deductible and amortized over the life of the bond on a pro-rata basis.",https://www.investopedia.com/terms/a/amortizable-bond-premium.asp
Amortization Schedule,"An amortization schedule is a chart that tracks the falling book value of a loan or an intangible asset over time. For loans, it details each payment’s breakdown between principal and interest. For intangible assets, it outlines the systematic allocation of the asset’s cost over its useful life.",https://www.investopedia.com/terms/a/amortization.asp
Anchoring and Adjustment,"Anchoring and adjustment is a phenomenon wherein an individual bases their initial ideas and responses on one point of information and makes changes driven by that starting point. The anchoring and adjustment heuristic describes cases in which a person uses a specific target number or value as a starting point, known as an anchor, and subsequently adjusts that information until an acceptable value is reached over time. Often, those adjustments are inadequate and remain too close to the original anchor, which is a problem when the anchor is very different from the true answer.",https://www.investopedia.com/terms/a/anchoring-and-adjustment.asp
Animal Spirits,"""Animal spirits"" is a term coined by the famous British economist,John Maynard Keynes, to describe how people arrive at financial decisions, including buying and selling securities, in times of economic stress or uncertainty. In Keynes’s 1936 publication,The General Theory of Employment, Interest, and Money, he speaks of animal spirits as the human emotions that affectconsumer confidence.",https://www.investopedia.com/terms/a/animal-spirits.asp
Annual General Meeting (AGM),"An annual general meeting (AGM) is a yearly gathering of a company’s interestedshareholders. At an AGM, the directors of the company present an annual report containing information for shareholders about thecompany’s performance and strategy.",https://www.investopedia.com/terms/a/agm.asp
Appraisal,"An appraisal is avaluationof property, such as real estate, a business, a collectible, or an antique, by the estimate of an authorized person. The authorized appraiser must have a designation from a regulatory body governing the appraiser's jurisdiction. Appraisals are typically used for insurance andtaxationpurposes or to determine a possible selling price for an item or property. In many cases, lenders require appraisals before approving mortgages.",https://www.investopedia.com/terms/a/appraisal.asp
Appraisal Costs,Appraisal costs are a specific category ofquality controlcosts. Companies payappraisalcosts as part of the quality control process to ensure that their products and services meet customer expectations and regulatory requirements. These costs could include expenses for field tests and inspections.,https://www.investopedia.com/terms/a/appraisal-costs.asp
Appraisal Management Company (AMC),An Appraisal Management Company (AMC) is an independent entity through whichmortgagelenders order residential real estate valuation services for properties on which they are considering extending loans to homebuyers.,https://www.investopedia.com/terms/a/appraisal-management-company-amc.asp
Arbitrageur,An arbitrageur is an investor who tries to profit from price differences in the market.,https://www.investopedia.com/terms/a/arbitrageur.asp
Arbitration,"Arbitration is a mechanism for resolving disputes between investors and brokers, or between brokers. It is overseen by theFinancial Industry Regulatory Authority (FINRA), and the decisions are final and binding. Arbitration is distinct frommediation,in which parties negotiate to reach a voluntary settlement, and decisions are not binding unless all parties agree to them.",https://www.investopedia.com/terms/a/arbitration.asp
Arithmetic Mean,"The arithmetic mean is the simplest and most widely used measure of amean, or average. It simply involves taking the sum of a group of numbers, then dividing that sum by the count of the numbers used in the series. For example, take the numbers 34, 44, 56, and 78. The sum is 212. The arithmetic mean is 212 divided by four, or 53.",https://www.investopedia.com/terms/a/arithmeticmean.asp
