term,definition,url
A-B Trust,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/a-b-trust.asp
A-Shares,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/a/a-shares.asp
AAA,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/a/aaa.asp
AARP,"Adam Hayes, Ph.D., CFA, is a financial writer with 15+ years Wall Street experience as a derivatives trader. Besides his extensive derivative trading expertise, Adam is an expert in economics and behavioral finance. Adam received his master's in economics from The New School for Social Research and his Ph.D. from the University of Wisconsin-Madison in sociology. He is a CFA charterholder as well as holding FINRA Series 7, 55 & 63 licenses. He currently researches and teaches economic sociology and the social studies of finance at the Hebrew University in Jerusalem.",https://www.investopedia.com/terms/a/aarp.asp
Abenomics,"Erika Rasure is globally-recognized as a leading consumer economics subject matter expert, researcher, and educator. She is a financial therapist and transformational coach, with a special interest in helping women learn how to invest.",https://www.investopedia.com/terms/a/abenomics.asp
Ability-to-Pay Taxation,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/ability-to-pay-taxation.asp
Abnormal Return,"Andy Smith is a Certified Financial Planner (CFP®), licensed realtor and educator with over 35 years of diverse financial management experience. He is an expert on personal finance, corporate finance and real estate and has assisted thousands of clients in meeting their financial goals over his career.",https://www.investopedia.com/terms/a/abnormalreturn.asp
Absolute Advantage,"Absolute advantage is the ability of an individual, company, region, or country to produce a greater quantity of a good or service with the same quantity of inputs per unit of time, or to produce the same quantity of a good or service per unit of time using a lesser quantity of inputs, than its competitors.",https://www.investopedia.com/terms/a/absoluteadvantage.asp
Absolute Return,"Adam Hayes, Ph.D., CFA, is a financial writer with 15+ years Wall Street experience as a derivatives trader. Besides his extensive derivative trading expertise, Adam is an expert in economics and behavioral finance. Adam received his master's in economics from The New School for Social Research and his Ph.D. from the University of Wisconsin-Madison in sociology. He is a CFA charterholder as well as holding FINRA Series 7, 55 & 63 licenses. He currently researches and teaches economic sociology and the social studies of finance at the Hebrew University in Jerusalem.",https://www.investopedia.com/terms/a/absolutereturn.asp
Absorption Costing,"Jonathan Ponciano is a financial journalist with nearly a decade of experience covering markets, technology, and entrepreneurship.",https://www.investopedia.com/terms/a/absorptioncosting.asp
Absorption Rate,The absorption rate is used in thereal estatemarket to evaluate the rate at which available homes are sold in a specificmarketduring a given period. It is calculated by dividing the number of homes sold in the allotted period by the total number of available homes.This equation can also be reversed to identify the time it would take for the supply to be sold.,https://www.investopedia.com/terms/a/absorption-rate.asp
Accelerated Depreciation,NoNo Flores / Investopedia,https://www.investopedia.com/terms/a/accelerateddepreciation.asp
Acceleration Clause,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/acceleration-clause.asp
Acceptable Quality Level (AQL),Investopedia / Mira Norian,https://www.investopedia.com/terms/a/acceptable-quality-level-aql.asp
Accepting Risk,"Accepting risk, or risk acceptance, occurs when a business or individual acknowledges that the potential loss from a risk is not great enough to warrant spending money to avoid it. Also known as ""risk retention,"" it is an aspect ofrisk managementcommonly found in the business or investment fields.",https://www.investopedia.com/terms/a/accepting-risk.asp
Accidental Death and Dismemberment Insurance (AD&D),"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/accidental-death-dismemberment-insurance.asp
Accidental Death Benefits,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/accidental-death-benefit.asp
Account Balance,"An account balance is the amount of money in a financial repository, such as a savings or checking account, at a specific time. It factors in all debits and credits. Account balances are also shown on billing statements for credit cards, utilities, and loans.",https://www.investopedia.com/terms/a/accountbalance.asp
Account in Trust,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/account-in-trust.asp
Account Number,Investopedia / Joules Garcia,https://www.investopedia.com/terms/a/account-number.asp
Account Statement,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/account-statement.asp
Accountability,Madelyn Goodnight / Investopedia,https://www.investopedia.com/terms/a/accountability.asp
Accountant,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/a/accountant.asp
Accountant Responsibility,Investopedia / Paige McLaughlin,https://www.investopedia.com/terms/a/accountant-responsibility.asp
Accounting,"Amanda Bellucco-Chatham is an editor, writer, and fact-checker with years of experience researching personal finance topics. Specialties include general financial planning, career development, lending, retirement, tax preparation, and credit.",https://www.investopedia.com/terms/a/accounting.asp
Accounting Conservatism,Accounting conservatism is a set of bookkeeping guidelines that call for a high degree of verification before a company can make a legal claim to anyprofit.,https://www.investopedia.com/terms/a/accounting-conservatism.asp
